date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:08:41	38797/38797	---M--	200	added ('OK')	image/jpeg	date:Thu,%2002%20Jul%202020%2014:47:51%20GMT	https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0106/users/b182d7d99abf1cfbf8edcbc6f8c73384d9da3dd4/i-img738x738-1590978834fchgi05797.jpg	C:/Users/YUTANAO/PycharmProjects/PythonScripts/yahuoku/1yen_shiire/dl_setumei/HTT/setumeigazou/auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0106/users/b182d7d99abf1cfbf8edcbc6f8c73384d9da3dd4/i-img738x738-1590978834fchg	(from https://page.auctions.yahoo.co.jp/jp/auction/j650969615)
01:08:41	32445/32445	---M--	200	added ('OK')	image/jpeg	date:Thu,%2002%20Jul%202020%2014:47:51%20GMT	https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0106/users/b182d7d99abf1cfbf8edcbc6f8c73384d9da3dd4/i-img738x738-1590978834yjiayk5797.jpg	C:/Users/YUTANAO/PycharmProjects/PythonScripts/yahuoku/1yen_shiire/dl_setumei/HTT/setumeigazou/auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0106/users/b182d7d99abf1cfbf8edcbc6f8c73384d9da3dd4/i-img738x738-1590978834yjia	(from https://page.auctions.yahoo.co.jp/jp/auction/j650969615)
01:08:43	36425/36425	---M--	200	added ('OK')	image/jpeg	date:Thu,%2002%20Jul%202020%2014:47:52%20GMT	https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0106/users/b182d7d99abf1cfbf8edcbc6f8c73384d9da3dd4/i-img738x738-1590978834q3j8ne5797.jpg	C:/Users/YUTANAO/PycharmProjects/PythonScripts/yahuoku/1yen_shiire/dl_setumei/HTT/setumeigazou/auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0106/users/b182d7d99abf1cfbf8edcbc6f8c73384d9da3dd4/i-img738x738-1590978834q3j8	(from https://page.auctions.yahoo.co.jp/jp/auction/j650969615)
01:08:45	116507/116507	---M--	200	added ('OK')	image/jpeg	date:Thu,%2002%20Jul%202020%2014:47:52%20GMT	https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0105/users/cf95cf306013234d067d64b690c3950b4e29a1e0/i-img898x1198-1590492142r7vq7v28965.jpg	C:/Users/YUTANAO/PycharmProjects/PythonScripts/yahuoku/1yen_shiire/dl_setumei/HTT/setumeigazou/auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0105/users/cf95cf306013234d067d64b690c3950b4e29a1e0/i-img898x1198-1590492142r7v	(from https://page.auctions.yahoo.co.jp/jp/auction/s743173211)
01:08:47	72761/72761	---M--	200	added ('OK')	image/jpeg	date:Mon,%2022%20Jun%202020%2013:36:07%20GMT	https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0103/users/6822f528c39cc90b71c01935b50ddc2e84542ab5/i-img675x1200-1583320669ughmi732981.jpg	C:/Users/YUTANAO/PycharmProjects/PythonScripts/yahuoku/1yen_shiire/dl_setumei/HTT/setumeigazou/auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0103/users/6822f528c39cc90b71c01935b50ddc2e84542ab5/i-img675x1200-1583320669ugh	(from https://page.auctions.yahoo.co.jp/jp/auction/k446063921)
01:08:49	141675/141675	---M--	200	added ('OK')	image/jpeg	date:Mon,%2029%20Jun%202020%2017:59:05%20GMT	https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0103/users/6822f528c39cc90b71c01935b50ddc2e84542ab5/i-img1072x1072-1583320669l1p7lh32981.jpg	C:/Users/YUTANAO/PycharmProjects/PythonScripts/yahuoku/1yen_shiire/dl_setumei/HTT/setumeigazou/auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0103/users/6822f528c39cc90b71c01935b50ddc2e84542ab5/i-img1072x1072-1583320669l1	(from https://page.auctions.yahoo.co.jp/jp/auction/k446063921)
01:08:55	105661/105661	---M--	200	added ('OK')	image/jpeg	date:Thu,%2002%20Jul%202020%2016:05:13%20GMT	https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0105/users/af76e8ae1797ee4578985bacafdf1f048d05feca/i-img898x1198-1590701025mionpw426649.jpg	C:/Users/YUTANAO/PycharmProjects/PythonScripts/yahuoku/1yen_shiire/dl_setumei/HTT/setumeigazou/auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0105/users/af76e8ae1797ee4578985bacafdf1f048d05feca/i-img898x1198-1590701025mio	(from https://page.auctions.yahoo.co.jp/jp/auction/v722675860)
01:08:55	231050/231050	---M--	200	added ('OK')	image/jpeg	date:Thu,%2002%20Jul%202020%2016:08:45%20GMT	https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0105/users/6dbec13e550a3e53dd16316d855f503cf6cd3449/i-img1200x1200-1590512233plb7zo306747.jpg	C:/Users/YUTANAO/PycharmProjects/PythonScripts/yahuoku/1yen_shiire/dl_setumei/HTT/setumeigazou/auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0105/users/6dbec13e550a3e53dd16316d855f503cf6cd3449/i-img1200x1200-1590512233pl	(from https://page.auctions.yahoo.co.jp/jp/auction/w391362696)
01:08:57	140280/140280	---M--	200	added ('OK')	image/jpeg	date:Thu,%2002%20Jul%202020%2016:08:54%20GMT	https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0105/users/af76e8ae1797ee4578985bacafdf1f048d05feca/i-img898x1198-1590707819d58bp0431053.jpg	C:/Users/YUTANAO/PycharmProjects/PythonScripts/yahuoku/1yen_shiire/dl_setumei/HTT/setumeigazou/auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0105/users/af76e8ae1797ee4578985bacafdf1f048d05feca/i-img898x1198-1590707819d58	(from https://page.auctions.yahoo.co.jp/jp/auction/h478289800)
01:08:57	134837/134837	---M--	200	added ('OK')	image/jpeg	date:Thu,%2002%20Jul%202020%2016:08:54%20GMT	https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0105/users/af76e8ae1797ee4578985bacafdf1f048d05feca/i-img898x1198-1590716750v8hoih441719.jpg	C:/Users/YUTANAO/PycharmProjects/PythonScripts/yahuoku/1yen_shiire/dl_setumei/HTT/setumeigazou/auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0105/users/af76e8ae1797ee4578985bacafdf1f048d05feca/i-img898x1198-1590716750v8h	(from https://page.auctions.yahoo.co.jp/jp/auction/h478289800)
01:08:58	131917/131917	---M--	200	added ('OK')	image/jpeg	date:Thu,%2002%20Jul%202020%2016:08:55%20GMT	https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0105/users/70b6655469366c22d794c676dee1263ee823c130/i-img898x1198-1590466260a7x3gw248842.jpg	C:/Users/YUTANAO/PycharmProjects/PythonScripts/yahuoku/1yen_shiire/dl_setumei/HTT/setumeigazou/auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0105/users/70b6655469366c22d794c676dee1263ee823c130/i-img898x1198-1590466260a7x	(from https://page.auctions.yahoo.co.jp/jp/auction/n428333173)
